career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future.,artificial intelligence; backend; c; c++; deep learning; docker; java; jenkins; kubernetes; linear regression; machine learning; python; sap; software engineering,['Jawaharlal Nehru University'],B.Tech,Civil,['Accenture'],Jan 2019,Jan 2020,1.0,Application Development Associate,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,1.0,human resource management,Age 18 to 30 years,True,0.0,0.0,0.8176,1.0,0.0,0.05,0.0441,0.2773
"Computer Science graduate with 2+ years of experience in systems management, information technology, and data administration. Demonstrated exceptional knowledge in all phases of multiple framework application infrastructures, development, technical process improvement, and system integration.",.neyvb asp; analytical process improvement; c++; css; data network management; javascript; python; risk assessment tracking; scrum agile; visual basic; visual foxpro,['New York University'],Bachelor of Science,Computer Science,"['Beckman Coulter', 'BlueOcean Biomedical', 'MathWorks']",2/2019; 1/2018; 5/2016,6/2020; 1/2019; 8/2016,0.0,Information Systems Assistant; IT Associate; Web Developer Intern,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,DevOps Engineer,Bachelor/Honors,At least 3 years,3.0,ansible; aws cloud; cloud platform; devops; dockers and kubernetes; java; react; terraform,,True,0.0,0.0,0.1824,1.0,0.0,0.0,0.0,0.1774
,algorithms; analytical and logical; apple; apple lion; aspnet; budget management; business objects; c++; calculator; calm under pressure; change management; client; coach; complex problem solving; computersavvy; continuous improvement; css; customer relations; customer service; dmaic; documentation; facilities management; financial reporting; fmea; gui; html; human resource management; human resources; interpersonal skills; inventory; inventory control; inventory levels; java; java 1; java 2; java script; keynote; leadership skills; lean manufacturing; lean manufacturing and management; maintain records; managing; manufacturing process; materials; microsoft access; microsoft access 2010; microsoft office; microsoft office 20032011; microsoft project; microsoft visio; microsoft visio 20082010; motivational; netbeans; numbers; operations management; out of the box thinking; pages; personnel; pfd; policies; policy/program development; powersteering; problemsolving skills; processes; project management; purchasing; quality; rcm; reengineering; repairs; reporting; safety; sap; six sigma; six sigma certified; six sigma tools and methodologies; software engineering; software training; sound judgment; sql; sql server 2008; strong leadership skills; supervision; supervision and training; supply chain; supply chain management; tango; textpad; user support; vb.net; visual studio; visual studio 20082010; water treatment; web design 1; web design 2; websites; works,"['McFord University', 'McFord University', 'University Of Phoenix College']",B.S; M.S; B.S.I.T,Mechanical Engineering; Electrical Engineering; Software Engineering,"['Company Name', 'Company Name', 'Company Name']",July 2013; September 2012; November 1981,January 2016; July 2013; October 2011,33.25,Corporate Process/Systems Engineering Manager; SDI Site Operations Manager; Operations Group Manager,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,3.0,brand promotion; campaign management; field supervision; merchandising; promotional activities; trade marketing,,True,0.1818,0.3333,1.0,0.2,0.0,0.1471,0.104,0.3138
,data analytics; machine learning; natural language processing; nltk; production analytics; production engineering; python; tableau,['SMV Institute of Technology'],B.Tech,Electrical and Electronics,['Mahindra Ltd'],2019,TILL DATE,5.0,Assistant Analyst,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,4.0,ios; ios app developer; ios application development; ios development; mobile apps developer ios; native ios; swift ios; swift ui,,True,0.0,0.0,0.9241,1.0,0.0,0.0833,0.3029,0.3079
,java; julia; latex; linux; mac osx; matlab; python; r; unix shell scripting bash; weka; windows,"['University of Toronto', 'University of Toronto', 'University of Pittsburgh']",PhD; M.S.; B.S.,Computer Science; Computer Science; Computer Science and Mathematics,"['Microsoft Research', 'University of Toronto, Department of Computer Science', 'University of Pittsburgh Department of Computer Science', 'University of Pittsburgh Department of Computer Science', 'Information Sciences Institute, University of Southern California']",May 2016; August 2011; April 2008; September 2010; June 2010,August 2016; Present; May 2011; December 2010; August 2010,16.17,"Research Intern; Research Assistant; Research Assistant; Directed Study; Research Assistant, DREU Program","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,3.0,,Age at most 40 years,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3
I am an assistant software engineer working on cloud-based solutions. After working on a couple of Machine Learning application evaluations and deployment I got really engrossed into the domain and would like to work more towards improving myself.,amazon web services; azure; c++; heroku; machine learning engineer; natural language processing; oracledb; python; sap; sql; tableau; technical documentation,"['KLE College of Engineering, Belagavi']",B.Tech,Telecommunication,['VoyaGenius Labs'],Dec 2018,Ongoing,0.0,Software Developer (ML),"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,4.0,cisco; linux; operation maintenance of server,,True,0.0,0.0,0.0759,1.0,0.0,0.0926,0.1099,0.1715
Post Graduate Analyst experienced in Business Management and Statistical Analysis. I have a very good grasp on finding the best solution for a business and applying them.,business analysis; data analysis; machine learning; natural language processing; numerical analysis; regression analysis; statistical analysis,"['IISc', 'IIIT Bangalore']",BSc; MSc,Statistics; Data Analysis and Statistical Computation,['BVB'],Jan 2020,Oct 2020,0.75,Statistical Analyst,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",natural learning processing,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.0,0.0,0.7773,0.9,0.0,0.0,0.0271,0.2529
I am Data science enthusiast focused on solving complex problems using machine learning techniques. I try to simplify problems and attack them head on. Always working and striving to be better solution finder.,bert; big data; data scientist; hive; machine learning; matplotlib; natural language processing; pandas; pyspark; python; scala; scikit learn; sql; transformers,"['LPU, Chandigarh']",B.tech,ECE,['NeuraTech'],Mar 2019,till date,4.84,Developer,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.9952,1.0,0.0,0.05,0.377,0.3206
,basic knowledge of microsoft powerpoint and excel; cpr first aid certified; proficient in microsoft word,['Southeastern Louisiana University'],Bachelor of Science,Biological Sciences,"['SLU Food Services', 'Self-Employed']",August 2020; August 2019,March 2021; June 2020,1.42,Dining Room Attendant; Babysitter,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",cpr first aid,Data Engineer,Bachelor of Science (BSc),5 to 8 years,5.0,azure; big data; data analytics; etl tools; power bi; sql,,True,0.0,0.0,0.1111,1.0,0.0,0.1034,0.2361,0.1836
,accounts receivable; aia; bank reconciliation; billing; billings; budgets; cash flow; clients; consultant; contracts; controller; daily cash receipts; express; financial; financial reports; financial statements; forms; general ledger; general ledger accounts; government; insurance; meetings; microsoft excel; microsoft office applications; microsoft powerpoint; office; pivot tables; presentations; prime; progress; proposals; reporting; spreadsheet; tax; timberline,"['American Intercontinental University', 'Florida International University']",M.B.A; B.A,Business Administrator; Accounting,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",Jul 2009; Jan 2007; Jan 2000; Jan 1998,Current; Jan 2009; Jan 2007; Jan 2000,25.5,Project Accountant; Project Administrator Engineering; Project Administrator; Senior Staff Accountant,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0285,0.3014
,administrative support; ap; blueprint understanding; critical thinking; document control; doors; engineer; engineering operational functions; forms; functional; leadership; machinery; manufacturing systems integration; navy; oil; organizational; pearl; personnel; personnel management; pick; problem solving; progress; project management; project support; proposals; quality assurance; repairs; reporting; requirement; senior management; sharepoint; switches; team management; technical review; time management; troubles,"['State of Ohio', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy', 'Navy']","GED; A-651-0118, Engineering Common Core; A-651-0120, Engineering Mechanical; A-652-0298, Gas Turbine Mechanical/Electrical A School; A-651-0119, Engineering Electrical; A-652-0240, SHIPBD GAGE CAL; A-495-0018, SHIPBOARD FIREFIGHTING; A-652-0188, Waste Heat Boilers; A-012-0077, Class Facilitator Instructional Delivery Continuum; G-651-0613, MACHINERY CONTROL SYSTEM; J-500-0029, Marine Maintenance And Ship Repair 3-M System Coordinator/Inspector",Engineering; Basic Propulsion Equipment; Gas Turbine Mechanical; Electrical; SHIPBD GAGE CAL; SHIPBOARD FIREFIGHTING; Waste Heat Boilers; Class Facilitator Instructional; MACHINERY CONTROL SYSTEM; Marine Maintenance And Ship Repair,"['Company Name', 'Company Name', 'Company Name']",01/2019; 06/2014; 10/2007,12/2018; 11/2010,0.0,Engineering Assistant; Electrical Superintendent; Engineering Assistant,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,1.0,computer skill; good communication skills; mechanical engineering; quick learner and hard working,Age at least 22 years,True,0.0909,0.25,0.6225,0.2,0.0,0.1379,0.1161,0.2133
